;1;2;3;4;5;6
San Andrés de Giles;0,0357;0;0,0179;0,7321;0;0,2143
San Antonio de Areco;0,3559;0,0339;0,5254;0;0,0339;0,0508
San Cayetano;0,8182;0,1818;0;0;0;0
San Fernando;0,1274;0,0776;0,0028;0,2161;0,0055;0,5706
San Isidro;0,343;0,4691;0,0394;0,1406;0;0,0079
San Nicolás;0,1633;0;0,0904;0,2828;0,0612;0,4023
San Pedro;0,7;0,0214;0,1143;0,1571;0;0,0071
San Vicente;0,0584;0;0,146;0,3869;0;0,4088
Suipacha;0,3448;0;0,6207;0,0345;0;0
Tandil;0,5813;0,0069;0,1246;0,2803;0,0035;0,0035
Tapalqué;0,16;0,04;0,76;0,04;0;0
Tigre;0,03;0;0,0025;0,4419;0;0,5256
Tornquist;0,7778;0,0556;0,1667;0;0;0
Trenque Lauquén;0,5093;0,0093;0,037;0,4352;0;0,0093
Tordillo;0;0;0,2;0,2;0;0,6
Tres Arroyos;0,1565;0;0,1565;0,5918;0,0068;0,0884
Tres de Febrero;0,1502;0,0295;0,2169;0,4275;0;0,1759
La Costa;0,1611;0;0,3833;0,45;0;0,0056
Monte Hermoso;0;0;0,9545;0;0;0,0455
Veinticinco de Mayo;0,3261;0,0109;0,0326;0,6087;0;0,0217
Vicente López;0,3569;0,5301;0,009;0,1024;0;0,0015
Villa Gesell;0,0649;0;0,6623;0,2078;0;0,0649
Villarino;0,2537;0,0149;0,0299;0,6716;0;0,0299
Zárate;0,0581;0;0,1202;0,1783;0,1512;0,4922
Tres Lomas;0;0;0,9474;0;0,0526;0
F. Ameghino;0,3043;0;0,6957;0;0;0
Presidente Perón;0;0;0;0,0062;0,1235;0,8704
J. C. Paz;0;0;0,0246;0,0193;0,3849;0,5712
Malvinas Argentinas;0;0;0,0029;0,0489;0,1151;0,8331
Punta Indio;0,2692;0;0,7308;0;0;0
Ezeiza;0,0031;0;0,205;0,0839;0,1398;0,5683
Ituzaingo;0,0977;0;0,2134;0,3599;0,0077;0,3213
Hurlingham;0,069;0;0,0887;0,3325;0,0197;0,4901
Lezama;0,6429;0;0,3571;0;0;0
